2025-09-26T12:45:06.090083,0.0227
2025-09-26T12:45:08.102318,0.0237
2025-09-26T12:45:10.112760,0.0250
2025-09-26T12:45:13.116184,0.0239
2025-09-26T12:45:15.106631,0.0189
2025-09-26T12:45:17.111524,0.0179
2025-09-26T12:45:19.112288,0.0880
2025-09-26T12:45:23.102385,0.1456
2025-09-26T12:45:25.099001,0.1175
2025-09-26T12:45:28.097814,0.0920
2025-09-26T12:45:31.088462,0.0293
2025-09-26T12:45:33.092304,0.0227
2025-09-26T12:45:35.090995,0.0109
2025-09-26T12:45:37.086640,0.0071
2025-09-26T12:45:39.158283,0.0070
2025-09-26T12:45:41.087984,0.0073
2025-09-26T12:45:43.100394,0.0072
2025-09-26T12:45:45.094670,0.0068
2025-09-26T12:45:47.518201,0.0109
2025-09-26T12:45:49.082227,0.0146
2025-09-26T12:45:52.088406,0.0188
